ชื่อลูกค้า,เบอร์โทร,ที่อยู่,หมายเหตุ
สมชาย,081-234-5678,ถนนใหญ่,ลูกค้าประจำ
สมหญิง,089-876-5432,ตลาดสด,สั่งทุกวัน
คุณนิด,092-111-2222,ร้านอาหาร,จ่ายสดเสมอ
พี่ใหญ่,083-333-4444,,
น้องเล็ก,094-555-6666,,
เรื่อนจำ (อาหารปรุง),,,
กาแฟเรือนจำ,,,
ร้านสงเคราะห์                                               ,,,
อาชีวะ พิจิตร,,,
ชาใต้,,,
บ้านนอกคอกนา                              ,,,
ทองเจริญ,,,
กงสี ทีบาร์,,,
พิ่เชื่อม,,,
บ้าร์น้ำ,,,
 มิกุชะ แฮปปี้,,,
มิกุุุชะ  ทอป,,,
พี่น้ำอุโมงค์,,,
กาลเวฬา,,,
สเวนเซนส์,,,
แก้สกุ้ง,,,
พี่เอ็ม,,,
แอน กาแฟ,,,
HOP,,,
อาคิชะ,,,
ขาวแดง,,,
ชาบู no1,,,
กาเหว่า,,,
ลุงแว่น,,,
ป้าหนิง,,,
พี่ปอเตี๋ยวไก่,,,
ซูชิมั้ย,,,
แม่ให้มา,,,
กล้วยทอด,,,
กล้วยทอดหลังตลาด,,,
 มายิน,,,
ป้าผัดไทย,,,
 ใส้กรอก,,,
ขนมครก,,,
14.25,,,
 ต้นกาแฟ,,,
 ทานตะวัน,,,
วิทกาแฟ,,,
บอลผลไม้,,,
ภาผลไม้,,,
ข้างภาผลไม้,,,
ลุงหนวด,,,
ลุุงใหญ่,,,
โหน่งข้าวมันไก่,,,
ถูเหนือ,,,
เอผลไม้,,,
เป็ดเจ้าคุณ,,,
บ้านนังใน,,,
บ้านบังนอก,,,
พรทะเล,,,
สวัสดิการโรงพยาบาลพิจิตร,,,
สามพี่น้อง,,,
เจ้แอน,,,
ชาใต้,,,
ลูกชิ้นทิพย์,,,
กิ๊ก,,,[Auto-added from order]
พี่วิทย์กาแฟ,,,[Auto-added from order]
ไก่,,,[Auto-added from order]
เจ้ตุ้ก,,,[Auto-added from order]
พรสวรรค์,,,[Auto-added from order]
ร้านผู้เหนือ,,,[Auto-added from order]
วิทย์กาแฟ,,,[Auto-added from order]
นิ้ว ไก่,,,[Auto-added from order]
เจ้นุ้ย,,,
ครูเหนือ,,,[Auto-added from order]
